sku,product_id,product_name,warehouse_location,quantity_on_hand,reorder_level,safety_stock,unit_cost
SKU-PROD-201,PROD-201,Hydraulic Unit Mod-101,WH-Central (IL),103,50,25,378.87
SKU-PROD-202,PROD-202,Sensors & IoT Unit Mod-102,WH-South (TX),45,25,12,101.26
SKU-PROD-203,PROD-203,Safety Equipment Unit Mod-103,WH-Central (IL),218,50,25,141.58
SKU-PROD-204,PROD-204,Fastener Unit Mod-104,WH-Central (IL),364,100,50,321.4
SKU-PROD-205,PROD-205,Pneumatic Unit Mod-105,WH-South (TX),16,50,25,68.6
SKU-PROD-206,PROD-206,Heavy Machinery Unit Mod-106,WH-West (NV),116,25,12,224.49
SKU-PROD-207,PROD-207,Hydraulic Unit Mod-107,WH-West (NV),345,100,50,435.34
SKU-PROD-208,PROD-208,Sensors & IoT Unit Mod-108,WH-East (NJ),451,100,50,73.49
SKU-PROD-209,PROD-209,Safety Equipment Unit Mod-109,WH-West (NV),84,15,7,56.48
SKU-PROD-210,PROD-210,Fastener Unit Mod-110,WH-Central (IL),233,50,25,89.48
SKU-PROD-211,PROD-211,Pneumatic Unit Mod-111,WH-South (TX),147,100,50,61.2
SKU-PROD-212,PROD-212,Heavy Machinery Unit Mod-112,WH-West (NV),79,25,12,282.69
SKU-PROD-213,PROD-213,Hydraulic Unit Mod-113,WH-South (TX),437,100,50,354.67
SKU-PROD-214,PROD-214,Sensors & IoT Unit Mod-114,WH-West (NV),463,100,50,151.38
SKU-PROD-215,PROD-215,Safety Equipment Unit Mod-115,WH-West (NV),83,15,7,154.79
SKU-PROD-216,PROD-216,Fastener Unit Mod-116,WH-South (TX),60,25,12,427.73
SKU-PROD-217,PROD-217,Pneumatic Unit Mod-117,WH-South (TX),144,25,12,137.47
SKU-PROD-218,PROD-218,Heavy Machinery Unit Mod-118,WH-Central (IL),3,15,7,98.87
SKU-PROD-219,PROD-219,Hydraulic Unit Mod-119,WH-West (NV),305,100,50,198.62
SKU-PROD-220,PROD-220,Sensors & IoT Unit Mod-120,WH-West (NV),207,50,25,148.79
SKU-PROD-221,PROD-221,Safety Equipment Unit Mod-121,WH-West (NV),124,25,12,323.77
SKU-PROD-222,PROD-222,Fastener Unit Mod-122,WH-South (TX),37,25,12,417.66
SKU-PROD-223,PROD-223,Pneumatic Unit Mod-123,WH-East (NJ),70,25,12,205.68
SKU-PROD-224,PROD-224,Heavy Machinery Unit Mod-124,WH-South (TX),31,15,7,411.07
SKU-PROD-225,PROD-225,Hydraulic Unit Mod-125,WH-West (NV),273,50,25,50.35
SKU-PROD-226,PROD-226,Sensors & IoT Unit Mod-126,WH-Central (IL),258,50,25,211.64
SKU-PROD-227,PROD-227,Safety Equipment Unit Mod-127,WH-West (NV),420,100,50,322.39
SKU-PROD-228,PROD-228,Fastener Unit Mod-128,WH-Central (IL),222,100,50,211.05
SKU-PROD-229,PROD-229,Pneumatic Unit Mod-129,WH-Central (IL),57,15,7,337.18
SKU-PROD-230,PROD-230,Heavy Machinery Unit Mod-130,WH-East (NJ),37,15,7,63.81
SKU-PROD-231,PROD-231,Hydraulic Unit Mod-131,WH-South (TX),139,50,25,449.82
SKU-PROD-232,PROD-232,Sensors & IoT Unit Mod-132,WH-West (NV),39,25,12,269.9
SKU-PROD-233,PROD-233,Safety Equipment Unit Mod-133,WH-Central (IL),48,50,25,224.96
SKU-PROD-234,PROD-234,Fastener Unit Mod-134,WH-West (NV),156,100,50,102.13
SKU-PROD-235,PROD-235,Pneumatic Unit Mod-135,WH-South (TX),277,100,50,436.85
SKU-PROD-236,PROD-236,Heavy Machinery Unit Mod-136,WH-Central (IL),57,25,12,166.66
SKU-PROD-237,PROD-237,Hydraulic Unit Mod-137,WH-West (NV),93,50,25,165.17
SKU-PROD-238,PROD-238,Sensors & IoT Unit Mod-138,WH-West (NV),89,15,7,306.6
SKU-PROD-239,PROD-239,Safety Equipment Unit Mod-139,WH-Central (IL),272,50,25,218.3
