invoice_id,customer_id,order_id,issue_date,due_date,amount,status
INV-3001,CUST-1036,ORD-5001,2026-08-13,2026-09-12,14637.76,Paid
INV-3002,CUST-1009,ORD-5002,2026-09-05,2026-10-05,4501.38,Pending
INV-3003,CUST-1110,ORD-5003,2026-08-10,2026-09-09,2943.01,Paid
INV-3004,CUST-1023,ORD-5004,2026-08-17,2026-09-16,8869.38,Pending
INV-3005,CUST-1058,ORD-5005,2026-08-24,2026-09-23,5955.57,Pending
INV-3006,CUST-1006,ORD-5006,2026-09-12,2026-10-12,5475.67,Pending
INV-3007,CUST-1010,ORD-5007,2026-08-06,2026-09-05,3396.23,Paid
INV-3008,CUST-1077,ORD-5008,2026-09-03,2026-10-03,16742.16,Pending
INV-3009,CUST-1058,ORD-5009,2026-08-15,2026-09-14,12928.63,Pending
INV-3010,CUST-1086,ORD-5010,2026-08-17,2026-09-16,2449.76,Pending
INV-3011,CUST-1013,ORD-5011,2026-08-24,2026-09-23,7617.96,Pending
INV-3012,CUST-1086,ORD-5012,2026-08-08,2026-09-07,9294.44,Paid
INV-3013,CUST-1028,ORD-5013,2026-08-10,2026-09-09,8602.22,Paid
INV-3014,CUST-1079,ORD-5014,2026-09-11,2026-10-11,954.14,Pending
INV-3015,CUST-1090,ORD-5015,2026-08-20,2026-09-19,5948.77,Pending
INV-3016,CUST-1004,ORD-5016,2026-08-06,2026-09-05,4042.91,Paid
INV-3017,CUST-1042,ORD-5017,2026-09-06,2026-10-06,2010.42,Pending
INV-3018,CUST-1007,ORD-5018,2026-08-06,2026-09-05,9794.8,Paid
INV-3019,CUST-1037,ORD-5019,2026-09-07,2026-10-07,5062.49,Pending
INV-3020,CUST-1028,ORD-5020,2026-08-09,2026-09-08,6683.69,Paid
INV-3021,CUST-1030,ORD-5021,2026-09-02,2026-10-02,6223.87,Pending
INV-3022,CUST-1074,ORD-5022,2026-08-28,2026-09-27,14894.86,Pending
INV-3023,CUST-1012,ORD-5023,2026-08-28,2026-09-27,7878.94,Pending
INV-3024,CUST-1112,ORD-5024,2026-08-20,2026-09-19,3252.06,Pending
INV-3025,CUST-1066,ORD-5025,2026-08-13,2026-09-12,3951.34,Paid
INV-3026,CUST-1010,ORD-5026,2026-08-12,2026-09-11,19000.87,Paid
INV-3027,CUST-1061,ORD-5027,2026-08-29,2026-09-28,4353.32,Pending
INV-3028,CUST-1058,ORD-5028,2026-08-03,2026-09-02,9705.76,Overdue
INV-3029,CUST-1075,ORD-5029,2026-09-05,2026-10-05,4812.26,Pending
INV-3030,CUST-1014,ORD-5030,2026-08-22,2026-09-21,6948.4,Pending
INV-3031,CUST-1079,ORD-5031,2026-08-11,2026-09-10,3706.45,Paid
INV-3032,CUST-1072,ORD-5032,2026-08-25,2026-09-24,10808.83,Pending
INV-3033,CUST-1040,ORD-5033,2026-09-11,2026-10-11,9569.63,Pending
INV-3034,CUST-1047,ORD-5034,2026-08-20,2026-09-19,1996.24,Pending
INV-3035,CUST-1010,ORD-5035,2026-08-19,2026-09-18,2005.8,Pending
INV-3036,CUST-1049,ORD-5036,2026-08-10,2026-09-09,2014.76,Paid
INV-3037,CUST-1079,ORD-5037,2026-08-19,2026-09-18,1586.28,Pending
INV-3038,CUST-1087,ORD-5038,2026-09-06,2026-10-06,10516.01,Pending
INV-3039,CUST-1007,ORD-5039,2026-09-11,2026-10-11,2431.44,Pending
INV-3040,CUST-1019,ORD-5040,2026-08-28,2026-09-27,7220.69,Pending
INV-3041,CUST-1065,ORD-5041,2026-08-24,2026-09-23,3916.93,Pending
INV-3042,CUST-1037,ORD-5042,2026-08-31,2026-09-30,10420.29,Pending
INV-3043,CUST-1100,ORD-5043,2026-08-19,2026-09-18,10042.03,Pending
INV-3044,CUST-1108,ORD-5044,2026-09-01,2026-10-01,7914.7,Pending
INV-3045,CUST-1038,ORD-5045,2026-08-28,2026-09-27,11018.91,Pending
INV-3046,CUST-1068,ORD-5046,2026-09-04,2026-10-04,3575.76,Pending
INV-3047,CUST-1050,ORD-5047,2026-08-24,2026-09-23,135.86,Pending
INV-3048,CUST-1094,ORD-5048,2026-09-12,2026-10-12,10289.4,Pending
INV-3049,CUST-1070,ORD-5049,2026-08-22,2026-09-21,6813.21,Pending
INV-3050,CUST-1009,ORD-5050,2026-08-30,2026-09-29,3395.27,Pending
INV-3051,CUST-1105,ORD-5051,2026-09-04,2026-10-04,1583.07,Pending
INV-3052,CUST-1016,ORD-5052,2026-08-24,2026-09-23,11650.16,Pending
INV-3053,CUST-1103,ORD-5053,2026-08-06,2026-09-05,5838.1,Paid
INV-3054,CUST-1014,ORD-5054,2026-08-06,2026-09-05,3173.89,Paid
INV-3055,CUST-1094,ORD-5055,2026-08-23,2026-09-22,14460.07,Pending
INV-3056,CUST-1019,ORD-5056,2026-09-08,2026-10-08,8263.78,Pending
INV-3057,CUST-1048,ORD-5057,2026-08-24,2026-09-23,697.5,Pending
INV-3058,CUST-1051,ORD-5058,2026-08-21,2026-09-20,13088.04,Pending
INV-3059,CUST-1117,ORD-5059,2026-09-05,2026-10-05,6322.99,Pending
INV-3060,CUST-1016,ORD-5060,2026-08-09,2026-09-08,16333.67,Paid
INV-3061,CUST-1115,ORD-5061,2026-08-20,2026-09-19,5869.8,Pending
INV-3062,CUST-1031,ORD-5062,2026-09-01,2026-10-01,12958.0,Pending
INV-3063,CUST-1009,ORD-5063,2026-08-20,2026-09-19,12170.95,Pending
INV-3064,CUST-1060,ORD-5064,2026-09-03,2026-10-03,11007.56,Pending
INV-3065,CUST-1065,ORD-5065,2026-08-04,2026-09-03,4322.64,Paid
INV-3066,CUST-1109,ORD-5066,2026-08-06,2026-09-05,5982.76,Paid
INV-3067,CUST-1065,ORD-5067,2026-09-11,2026-10-11,14256.1,Pending
INV-3068,CUST-1011,ORD-5068,2026-08-03,2026-09-02,16453.64,Paid
INV-3069,CUST-1032,ORD-5069,2026-08-26,2026-09-25,9091.01,Pending
INV-3070,CUST-1078,ORD-5070,2026-08-10,2026-09-09,11057.03,Paid
INV-3071,CUST-1016,ORD-5071,2026-08-18,2026-09-17,4092.36,Pending
INV-3072,CUST-1054,ORD-5072,2026-08-16,2026-09-15,9308.76,Pending
INV-3073,CUST-1064,ORD-5073,2026-08-20,2026-09-19,3844.96,Pending
INV-3074,CUST-1031,ORD-5074,2026-08-14,2026-09-13,7535.48,Pending
INV-3075,CUST-1069,ORD-5075,2026-08-01,2026-08-31,5058.92,Paid
INV-3076,CUST-1071,ORD-5076,2026-08-19,2026-09-18,11932.8,Pending
INV-3077,CUST-1051,ORD-5077,2026-08-24,2026-09-23,4304.82,Pending
INV-3078,CUST-1005,ORD-5078,2026-08-09,2026-09-08,6572.47,Paid
INV-3079,CUST-1095,ORD-5079,2026-08-20,2026-09-19,6524.73,Pending
INV-3080,CUST-1048,ORD-5080,2026-08-22,2026-09-21,6107.4,Pending
INV-3081,CUST-1004,ORD-5081,2026-09-08,2026-10-08,16862.06,Pending
INV-3082,CUST-1106,ORD-5082,2026-08-16,2026-09-15,97.9,Pending
INV-3083,CUST-1054,ORD-5083,2026-08-10,2026-09-09,4090.61,Paid
INV-3084,CUST-1072,ORD-5084,2026-08-21,2026-09-20,9988.17,Pending
INV-3085,CUST-1103,ORD-5085,2026-08-17,2026-09-16,6286.15,Pending
INV-3086,CUST-1041,ORD-5086,2026-08-31,2026-09-30,5385.5,Pending
INV-3087,CUST-1099,ORD-5087,2026-08-10,2026-09-09,3706.92,Paid
INV-3088,CUST-1033,ORD-5088,2026-08-31,2026-09-30,9952.69,Pending
INV-3089,CUST-1014,ORD-5089,2026-09-09,2026-10-09,2720.24,Pending
INV-3090,CUST-1043,ORD-5090,2026-08-31,2026-09-30,9192.23,Pending
INV-3091,CUST-1084,ORD-5091,2026-08-13,2026-09-12,4533.63,Paid
INV-3092,CUST-1113,ORD-5092,2026-08-12,2026-09-11,7692.33,Paid
INV-3093,CUST-1083,ORD-5093,2026-09-04,2026-10-04,4860.85,Pending
INV-3094,CUST-1033,ORD-5094,2026-08-12,2026-09-11,8617.41,Paid
INV-3095,CUST-1012,ORD-5095,2026-08-26,2026-09-25,2429.4,Pending
INV-3096,CUST-1120,ORD-5096,2026-08-16,2026-09-15,7888.18,Pending
INV-3097,CUST-1002,ORD-5097,2026-08-17,2026-09-16,6416.68,Pending
INV-3098,CUST-1119,ORD-5098,2026-08-20,2026-09-19,7231.36,Pending
INV-3099,CUST-1096,ORD-5099,2026-09-08,2026-10-08,9685.63,Pending
INV-3100,CUST-1118,ORD-5100,2026-09-06,2026-10-06,6928.56,Pending
INV-3101,CUST-1069,ORD-5101,2026-08-10,2026-09-09,12145.34,Paid
INV-3102,CUST-1058,ORD-5102,2026-08-04,2026-09-03,8568.59,Paid
INV-3103,CUST-1104,ORD-5103,2026-08-20,2026-09-19,6357.87,Pending
INV-3104,CUST-1008,ORD-5104,2026-08-05,2026-09-04,2162.37,Paid
INV-3105,CUST-1115,ORD-5105,2026-08-25,2026-09-24,5629.67,Pending
INV-3106,CUST-1017,ORD-5106,2026-08-15,2026-09-14,2769.6,Pending
INV-3107,CUST-1069,ORD-5107,2026-08-25,2026-09-24,2950.48,Pending
INV-3108,CUST-1005,ORD-5108,2026-09-12,2026-10-12,3336.24,Pending
INV-3109,CUST-1077,ORD-5109,2026-08-04,2026-09-03,1814.08,Paid
INV-3110,CUST-1018,ORD-5110,2026-09-02,2026-10-02,3720.0,Pending
INV-3111,CUST-1039,ORD-5111,2026-08-10,2026-09-09,1262.6,Paid
