item_id,order_id,product_id,quantity,unit_price,line_total
ITEM-1,ORD-5001,PROD-212,11,549.28,6042.08
ITEM-2,ORD-5001,PROD-228,11,379.58,4175.38
ITEM-3,ORD-5001,PROD-277,1,399.46,399.46
ITEM-4,ORD-5001,PROD-207,6,670.14,4020.84
ITEM-5,ORD-5002,PROD-230,6,132.18,793.08
ITEM-6,ORD-5002,PROD-219,10,370.83,3708.3
ITEM-7,ORD-5003,PROD-223,2,361.67,723.34
ITEM-8,ORD-5003,PROD-204,3,464.33,1392.99
ITEM-9,ORD-5003,PROD-202,6,137.78,826.68
ITEM-10,ORD-5004,PROD-254,9,610.74,5496.66
ITEM-11,ORD-5004,PROD-215,12,281.06,3372.72
ITEM-12,ORD-5005,PROD-258,9,661.73,5955.57
ITEM-13,ORD-5006,PROD-259,11,302.83,3331.13
ITEM-14,ORD-5006,PROD-204,1,464.33,464.33
ITEM-15,ORD-5006,PROD-262,7,240.03,1680.21
ITEM-16,ORD-5007,PROD-209,3,102.91,308.73
ITEM-17,ORD-5007,PROD-236,10,308.75,3087.5
ITEM-18,ORD-5008,PROD-265,10,324.48,3244.8
ITEM-19,ORD-5008,PROD-256,2,583.81,1167.62
ITEM-20,ORD-5008,PROD-215,11,281.06,3091.66
ITEM-21,ORD-5008,PROD-271,12,769.84,9238.08
ITEM-22,ORD-5009,PROD-259,7,302.83,2119.81
ITEM-23,ORD-5009,PROD-254,12,610.74,7328.88
ITEM-24,ORD-5009,PROD-213,6,579.99,3479.94
ITEM-25,ORD-5010,PROD-261,2,675.6,1351.2
ITEM-26,ORD-5010,PROD-212,2,549.28,1098.56
ITEM-27,ORD-5011,PROD-276,9,846.44,7617.96
ITEM-28,ORD-5012,PROD-255,12,328.87,3946.44
ITEM-29,ORD-5012,PROD-207,5,670.14,3350.7
ITEM-30,ORD-5012,PROD-277,5,399.46,1997.3
ITEM-31,ORD-5013,PROD-229,2,607.86,1215.72
ITEM-32,ORD-5013,PROD-245,9,395.72,3561.48
ITEM-33,ORD-5013,PROD-248,2,368.76,737.52
ITEM-34,ORD-5013,PROD-236,10,308.75,3087.5
ITEM-35,ORD-5014,PROD-278,11,86.74,954.14
ITEM-36,ORD-5015,PROD-201,3,595.65,1786.95
ITEM-37,ORD-5015,PROD-219,10,370.83,3708.3
ITEM-38,ORD-5015,PROD-252,2,226.76,453.52
ITEM-39,ORD-5016,PROD-249,7,317.99,2225.93
ITEM-40,ORD-5016,PROD-259,6,302.83,1816.98
ITEM-41,ORD-5017,PROD-207,3,670.14,2010.42
ITEM-42,ORD-5018,PROD-255,8,328.87,2630.96
ITEM-43,ORD-5018,PROD-278,8,86.74,693.92
ITEM-44,ORD-5018,PROD-254,5,610.74,3053.7
ITEM-45,ORD-5018,PROD-228,9,379.58,3416.22
ITEM-46,ORD-5019,PROD-206,4,377.22,1508.88
ITEM-47,ORD-5019,PROD-251,10,345.08,3450.8
ITEM-48,ORD-5019,PROD-208,1,102.81,102.81
ITEM-49,ORD-5020,PROD-242,2,83.53,167.06
ITEM-50,ORD-5020,PROD-201,8,595.65,4765.2
ITEM-51,ORD-5020,PROD-256,3,583.81,1751.43
ITEM-52,ORD-5021,PROD-210,7,175.23,1226.61
ITEM-53,ORD-5021,PROD-206,7,377.22,2640.54
ITEM-54,ORD-5021,PROD-203,8,294.59,2356.72
ITEM-55,ORD-5022,PROD-254,5,610.74,3053.7
ITEM-56,ORD-5022,PROD-215,7,281.06,1967.42
ITEM-57,ORD-5022,PROD-203,6,294.59,1767.54
ITEM-58,ORD-5022,PROD-222,10,810.62,8106.2
ITEM-59,ORD-5023,PROD-256,10,583.81,5838.1
ITEM-60,ORD-5023,PROD-252,9,226.76,2040.84
ITEM-61,ORD-5024,PROD-243,3,558.33,1674.99
ITEM-62,ORD-5024,PROD-210,9,175.23,1577.07
ITEM-63,ORD-5025,PROD-219,4,370.83,1483.32
ITEM-64,ORD-5025,PROD-214,3,271.18,813.54
ITEM-65,ORD-5025,PROD-233,4,413.62,1654.48
ITEM-66,ORD-5026,PROD-260,10,347.74,3477.4
ITEM-67,ORD-5026,PROD-275,8,857.45,6859.6
ITEM-68,ORD-5026,PROD-273,11,544.93,5994.23
