order_id,customer_id,order_date,status,total_amount,shipping_method,payment_terms
ORD-5001,CUST-1036,2026-08-13 09:00:00,Delivered,14637.76,Expedited Air,Net 30
ORD-5002,CUST-1009,2026-09-05 11:00:00,Delivered,4501.38,Ground Freight,Net 30
ORD-5003,CUST-1110,2026-08-10 10:00:00,Delivered,2943.01,Ground Freight,Net 30
ORD-5004,CUST-1023,2026-08-17 08:00:00,Delivered,8869.38,Expedited Air,Net 30
ORD-5005,CUST-1058,2026-08-24 16:00:00,Delivered,5955.57,Expedited Air,Net 30
ORD-5006,CUST-1006,2026-09-12 16:00:00,Shipped,5475.67,Expedited Air,Net 30
ORD-5007,CUST-1010,2026-08-06 13:00:00,Delivered,3396.23,Ground Freight,Net 30
ORD-5008,CUST-1077,2026-09-03 12:00:00,Delivered,16742.16,Expedited Air,Net 30
ORD-5009,CUST-1058,2026-08-15 14:00:00,Delivered,12928.63,Expedited Air,Net 30
ORD-5010,CUST-1086,2026-08-17 13:00:00,Delivered,2449.76,Ground Freight,Net 30
ORD-5011,CUST-1013,2026-08-24 10:00:00,Delivered,7617.96,Expedited Air,Net 30
ORD-5012,CUST-1086,2026-08-08 14:00:00,Delivered,9294.44,Expedited Air,Net 30
ORD-5013,CUST-1028,2026-08-10 18:00:00,Delivered,8602.22,Expedited Air,Net 30
ORD-5014,CUST-1079,2026-09-11 16:00:00,Shipped,954.14,Ground Freight,Net 30
ORD-5015,CUST-1090,2026-08-20 13:00:00,Delivered,5948.77,Expedited Air,Net 30
ORD-5016,CUST-1004,2026-08-06 16:00:00,Delivered,4042.91,Ground Freight,Net 30
ORD-5017,CUST-1042,2026-09-06 17:00:00,Delivered,2010.42,Ground Freight,Net 30
ORD-5018,CUST-1007,2026-08-06 12:00:00,Delivered,9794.8,Expedited Air,Net 30
ORD-5019,CUST-1037,2026-09-07 15:00:00,Delivered,5062.49,Expedited Air,Net 30
ORD-5020,CUST-1028,2026-08-09 12:00:00,Delivered,6683.69,Expedited Air,Net 30
ORD-5021,CUST-1030,2026-09-02 16:00:00,Delivered,6223.87,Expedited Air,Net 30
ORD-5022,CUST-1074,2026-08-28 17:00:00,Delivered,14894.86,Expedited Air,Net 30
ORD-5023,CUST-1012,2026-08-28 09:00:00,Delivered,7878.94,Expedited Air,Net 30
ORD-5024,CUST-1112,2026-08-20 13:00:00,Delivered,3252.06,Ground Freight,Net 30
ORD-5025,CUST-1066,2026-08-13 13:00:00,Delivered,3951.34,Ground Freight,Net 30
ORD-5026,CUST-1010,2026-08-12 18:00:00,Delivered,19000.87,Expedited Air,Net 30
ORD-5027,CUST-1061,2026-08-29 18:00:00,Delivered,4353.32,Ground Freight,Net 30
ORD-5028,CUST-1058,2026-08-03 08:00:00,Delivered,9705.76,Expedited Air,Net 30
ORD-5029,CUST-1075,2026-09-05 08:00:00,Delivered,4812.26,Ground Freight,Net 30
ORD-5030,CUST-1014,2026-08-22 09:00:00,Delivered,6948.4,Expedited Air,Net 30
ORD-5031,CUST-1079,2026-08-11 13:00:00,Delivered,3706.45,Ground Freight,Net 30
ORD-5032,CUST-1072,2026-08-25 12:00:00,Delivered,10808.83,Expedited Air,Net 30
ORD-5033,CUST-1040,2026-09-11 18:00:00,Processing,9569.63,Expedited Air,Net 30
ORD-5034,CUST-1047,2026-08-20 10:00:00,Delivered,1996.24,Ground Freight,Net 30
ORD-5035,CUST-1010,2026-08-19 09:00:00,Delivered,2005.8,Ground Freight,Net 30
ORD-5036,CUST-1049,2026-08-10 10:00:00,Delivered,2014.76,Ground Freight,Net 30
ORD-5037,CUST-1079,2026-08-19 15:00:00,Delivered,1586.28,Ground Freight,Net 30
ORD-5038,CUST-1087,2026-09-06 15:00:00,Delivered,10516.01,Expedited Air,Net 30
ORD-5039,CUST-1007,2026-09-11 15:00:00,Processing,2431.44,Ground Freight,Net 30
ORD-5040,CUST-1019,2026-08-28 09:00:00,Delivered,7220.69,Expedited Air,Net 30
ORD-5041,CUST-1065,2026-08-24 11:00:00,Delivered,3916.93,Ground Freight,Net 30
ORD-5042,CUST-1037,2026-08-31 10:00:00,Delayed,10420.29,Expedited Air,Net 30
ORD-5043,CUST-1100,2026-08-19 11:00:00,Delivered,10042.03,Expedited Air,Net 30
ORD-5044,CUST-1108,2026-09-01 17:00:00,Delivered,7914.7,Expedited Air,Net 30
ORD-5045,CUST-1038,2026-08-28 08:00:00,Delivered,11018.91,Expedited Air,Net 30
ORD-5046,CUST-1068,2026-09-04 16:00:00,Delivered,3575.76,Ground Freight,Net 30
ORD-5047,CUST-1050,2026-08-24 12:00:00,Delivered,135.86,Ground Freight,Net 30
ORD-5048,CUST-1094,2026-09-12 18:00:00,Shipped,10289.4,Expedited Air,Net 30
ORD-5049,CUST-1070,2026-08-22 18:00:00,Delivered,6813.21,Expedited Air,Net 30
ORD-5050,CUST-1009,2026-08-30 08:00:00,Delivered,3395.27,Ground Freight,Net 30
ORD-5051,CUST-1105,2026-09-04 15:00:00,Delivered,1583.07,Ground Freight,Net 30
ORD-5052,CUST-1016,2026-08-24 14:00:00,Delivered,11650.16,Expedited Air,Net 30
ORD-5053,CUST-1103,2026-08-06 14:00:00,Delivered,5838.1,Expedited Air,Net 30
ORD-5054,CUST-1014,2026-08-06 13:00:00,Delivered,3173.89,Ground Freight,Net 30
ORD-5055,CUST-1094,2026-08-23 17:00:00,Delivered,14460.07,Expedited Air,Net 30
ORD-5056,CUST-1019,2026-09-08 18:00:00,Processing,8263.78,Expedited Air,Net 30
ORD-5057,CUST-1048,2026-08-24 15:00:00,Delivered,697.5,Ground Freight,Net 30
ORD-5058,CUST-1051,2026-08-21 18:00:00,Delivered,13088.04,Expedited Air,Net 30
ORD-5059,CUST-1117,2026-09-05 09:00:00,Delivered,6322.99,Expedited Air,Net 30
ORD-5060,CUST-1016,2026-08-09 09:00:00,Delivered,16333.67,Expedited Air,Net 30
ORD-5061,CUST-1115,2026-08-20 10:00:00,Delivered,5869.8,Expedited Air,Net 30
ORD-5062,CUST-1031,2026-09-01 08:00:00,Delivered,12958.0,Expedited Air,Net 30
ORD-5063,CUST-1009,2026-08-20 14:00:00,Delivered,12170.95,Expedited Air,Net 30
ORD-5064,CUST-1060,2026-09-03 13:00:00,Delivered,11007.56,Expedited Air,Net 30
ORD-5065,CUST-1065,2026-08-04 09:00:00,Delivered,4322.64,Ground Freight,Net 30
ORD-5066,CUST-1109,2026-08-06 12:00:00,Delivered,5982.76,Expedited Air,Net 30
ORD-5067,CUST-1065,2026-09-11 10:00:00,Shipped,14256.1,Expedited Air,Net 30
ORD-5068,CUST-1011,2026-08-03 18:00:00,Delivered,16453.64,Expedited Air,Net 30
ORD-5069,CUST-1032,2026-08-26 12:00:00,Delivered,9091.01,Expedited Air,Net 30
ORD-5070,CUST-1078,2026-08-10 13:00:00,Delivered,11057.03,Expedited Air,Net 30
ORD-5071,CUST-1016,2026-08-18 15:00:00,Delivered,4092.36,Ground Freight,Net 30
ORD-5072,CUST-1054,2026-08-16 10:00:00,Delivered,9308.76,Expedited Air,Net 30
ORD-5073,CUST-1064,2026-08-20 15:00:00,Delivered,3844.96,Ground Freight,Net 30
ORD-5074,CUST-1031,2026-08-14 17:00:00,Delivered,7535.48,Expedited Air,Net 30
ORD-5075,CUST-1069,2026-08-01 09:00:00,Delivered,5058.92,Expedited Air,Net 30
ORD-5076,CUST-1071,2026-08-19 09:00:00,Delivered,11932.8,Expedited Air,Net 30
ORD-5077,CUST-1051,2026-08-24 13:00:00,Delivered,4304.82,Ground Freight,Net 30
ORD-5078,CUST-1005,2026-08-09 13:00:00,Delivered,6572.47,Expedited Air,Net 30
ORD-5079,CUST-1095,2026-08-20 17:00:00,Delivered,6524.73,Expedited Air,Net 30
ORD-5080,CUST-1048,2026-08-22 18:00:00,Delivered,6107.4,Expedited Air,Net 30
ORD-5081,CUST-1004,2026-09-08 15:00:00,Shipped,16862.06,Expedited Air,Net 30
ORD-5082,CUST-1106,2026-08-16 08:00:00,Delivered,97.9,Ground Freight,Net 30
ORD-5083,CUST-1054,2026-08-10 14:00:00,Delivered,4090.61,Ground Freight,Net 30
ORD-5084,CUST-1072,2026-08-21 18:00:00,Delivered,9988.17,Expedited Air,Net 30
ORD-5085,CUST-1103,2026-08-17 17:00:00,Delayed,6286.15,Expedited Air,Net 30
ORD-5086,CUST-1041,2026-08-31 13:00:00,Delivered,5385.5,Expedited Air,Net 30
ORD-5087,CUST-1099,2026-08-10 12:00:00,Delivered,3706.92,Ground Freight,Net 30
ORD-5088,CUST-1033,2026-08-31 11:00:00,Delivered,9952.69,Expedited Air,Net 30
ORD-5089,CUST-1014,2026-09-09 17:00:00,Processing,2720.24,Ground Freight,Net 30
ORD-5090,CUST-1043,2026-08-31 09:00:00,Delivered,9192.23,Expedited Air,Net 30
ORD-5091,CUST-1084,2026-08-13 12:00:00,Delivered,4533.63,Ground Freight,Net 30
ORD-5092,CUST-1113,2026-08-12 08:00:00,Delivered,7692.33,Expedited Air,Net 30
ORD-5093,CUST-1083,2026-09-04 16:00:00,Delivered,4860.85,Ground Freight,Net 30
ORD-5094,CUST-1033,2026-08-12 08:00:00,Delivered,8617.41,Expedited Air,Net 30
ORD-5095,CUST-1012,2026-08-26 18:00:00,Delivered,2429.4,Ground Freight,Net 30
ORD-5096,CUST-1120,2026-08-16 08:00:00,Delivered,7888.18,Expedited Air,Net 30
ORD-5097,CUST-1002,2026-08-17 18:00:00,Delivered,6416.68,Expedited Air,Net 30
ORD-5098,CUST-1119,2026-08-20 09:00:00,Delivered,7231.36,Expedited Air,Net 30
ORD-5099,CUST-1096,2026-09-08 13:00:00,Shipped,9685.63,Expedited Air,Net 30
ORD-5100,CUST-1118,2026-09-06 09:00:00,Delivered,6928.56,Expedited Air,Net 30
ORD-5101,CUST-1069,2026-08-10 10:00:00,Delivered,12145.34,Expedited Air,Net 30
ORD-5102,CUST-1058,2026-08-04 15:00:00,Delivered,8568.59,Expedited Air,Net 30
ORD-5103,CUST-1104,2026-08-20 08:00:00,Delivered,6357.87,Expedited Air,Net 30
ORD-5104,CUST-1008,2026-08-05 15:00:00,Delivered,2162.37,Ground Freight,Net 30
ORD-5105,CUST-1115,2026-08-25 15:00:00,Delivered,5629.67,Expedited Air,Net 30
ORD-5106,CUST-1017,2026-08-15 08:00:00,Delivered,2769.6,Ground Freight,Net 30
ORD-5107,CUST-1069,2026-08-25 11:00:00,Delivered,2950.48,Ground Freight,Net 30
ORD-5108,CUST-1005,2026-09-12 14:00:00,Processing,3336.24,Ground Freight,Net 30
ORD-5109,CUST-1077,2026-08-04 11:00:00,Delivered,1814.08,Ground Freight,Net 30
ORD-5110,CUST-1018,2026-09-02 12:00:00,Delivered,3720.0,Ground Freight,Net 30
ORD-5111,CUST-1039,2026-08-10 18:00:00,Delivered,1262.6,Ground Freight,Net 30
ORD-5112,CUST-1087,2026-08-28 16:00:00,Delivered,17578.05,Expedited Air,Net 30
