payment_id,invoice_id,payment_date,amount,payment_method,reference
PAY-6001,INV-3001,2026-09-10,14637.76,ACH Transfer,REF-ED2E65FB
PAY-6003,INV-3003,2026-08-30,2943.01,ACH Transfer,REF-5F7E0359
PAY-6007,INV-3007,2026-08-26,3396.23,Wire,REF-EEF110C7
PAY-6012,INV-3012,2026-09-05,9294.44,Corporate Card,REF-4388582A
PAY-6013,INV-3013,2026-09-06,8602.22,Corporate Card,REF-ED037395
PAY-6016,INV-3016,2026-08-25,4042.91,Corporate Card,REF-68EB5C80
PAY-6018,INV-3018,2026-08-29,9794.8,ACH Transfer,REF-24A6B59E
PAY-6020,INV-3020,2026-09-05,6683.69,Corporate Card,REF-731BC02F
PAY-6025,INV-3025,2026-08-27,3951.34,Corporate Card,REF-77447111
PAY-6026,INV-3026,2026-09-05,19000.87,ACH Transfer,REF-5FCA47E8
PAY-6031,INV-3031,2026-08-31,3706.45,ACH Transfer,REF-242BA27C
PAY-6036,INV-3036,2026-08-27,2014.76,Wire,REF-837BA18F
PAY-6053,INV-3053,2026-08-25,5838.1,Wire,REF-D8A24B0C
PAY-6054,INV-3054,2026-08-30,3173.89,ACH Transfer,REF-FD2AB43A
PAY-6060,INV-3060,2026-09-05,16333.67,Wire,REF-F9BE22A5
PAY-6065,INV-3065,2026-08-30,4322.64,Wire,REF-294FFF15
PAY-6066,INV-3066,2026-09-02,5982.76,ACH Transfer,REF-90CEB878
PAY-6068,INV-3068,2026-08-22,16453.64,Wire,REF-24312367
PAY-6070,INV-3070,2026-08-27,11057.03,Wire,REF-078286E0
PAY-6075,INV-3075,2026-08-17,5058.92,Wire,REF-9C8C87F5
PAY-6078,INV-3078,2026-08-31,6572.47,Corporate Card,REF-4169D6F2
PAY-6083,INV-3083,2026-09-05,4090.61,ACH Transfer,REF-157A2346
PAY-6087,INV-3087,2026-09-03,3706.92,Corporate Card,REF-BF7B2E7D
PAY-6091,INV-3091,2026-08-28,4533.63,Wire,REF-2A9A8119
PAY-6092,INV-3092,2026-08-31,7692.33,Wire,REF-A15BF0A3
PAY-6094,INV-3094,2026-09-07,8617.41,Wire,REF-6DD8F683
PAY-6101,INV-3101,2026-08-22,12145.34,Corporate Card,REF-F4CD2032
PAY-6102,INV-3102,2026-08-28,8568.59,Corporate Card,REF-02C9C539
PAY-6104,INV-3104,2026-08-28,2162.37,Wire,REF-B5E40D6A
PAY-6109,INV-3109,2026-08-20,1814.08,ACH Transfer,REF-FB869F6E
PAY-6111,INV-3111,2026-08-25,1262.6,Corporate Card,REF-A6577F32
PAY-6113,INV-3113,2026-09-08,11382.57,Corporate Card,REF-8F9FB3A0
PAY-6126,INV-3126,2026-08-23,7829.05,Wire,REF-61F08EE1
PAY-6129,INV-3129,2026-08-14,2445.66,Corporate Card,REF-A0717CDA
PAY-6130,INV-3130,2026-08-30,5103.18,Corporate Card,REF-B68D5A13
PAY-6131,INV-3131,2026-08-31,4407.84,ACH Transfer,REF-E301B5E3
PAY-6137,INV-3137,2026-08-18,14317.9,Corporate Card,REF-E5FE1B7D
PAY-6143,INV-3143,2026-09-03,11916.22,Wire,REF-92E1517D
