shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,status,delay_days
SHP-8001,ORD-5001,Apex Logistics,TRK-26901217,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8002,ORD-5002,FedEx Freight,TRK-47215199,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8003,ORD-5003,Apex Logistics,TRK-89034501,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8004,ORD-5004,FedEx Freight,TRK-73920651,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8005,ORD-5005,Apex Logistics,TRK-92558242,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8006,ORD-5006,FedEx Freight,TRK-69533928,2026-09-13,2026-09-16,,In Transit,1
SHP-8007,ORD-5007,Swift Transport,TRK-83599154,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8008,ORD-5008,Apex Logistics,TRK-67723010,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8009,ORD-5009,UPS Freight,TRK-51946203,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8010,ORD-5010,FedEx Freight,TRK-67965485,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8011,ORD-5011,Swift Transport,TRK-54244334,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8012,ORD-5012,Old Dominion,TRK-23905032,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8013,ORD-5013,Apex Logistics,TRK-67594492,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8014,ORD-5014,FedEx Freight,TRK-46677730,2026-09-12,2026-09-15,,In Transit,0
SHP-8015,ORD-5015,Apex Logistics,TRK-94982908,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8016,ORD-5016,Apex Logistics,TRK-59667685,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8017,ORD-5017,Apex Logistics,TRK-92924837,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8018,ORD-5018,FedEx Freight,TRK-56328316,2026-08-07,2026-08-10,2026-08-10,Delivered,0
